Week	Stayers	OnTheFence	Leavers
6	45.41	38.09	16.5
7	45.63	33.08	21.29
8	46.5	33.99333333	19.50666667
9	45.4475	34.055	20.4975
10	45.526	32.182	22.292
11	46.25	31.376	22.374
12	44.628	32.962	22.41
13	45.2	32.22	22.58
14	45.798	31.524	22.678
15	46.19	33.634	20.176
16	45.19	31.182	23.628
17	45.476	29.912	24.612
18	45.594	28.746	25.66
19	46.858	27.474	25.668
20	45.754	26.492	27.754
21	45.762	28.544	25.694
22	47.412	28.704	23.884
23	47.384	29.12	23.496
24	47.278	30.472	22.25
25	47.908	30.74	21.352
26	48.806	29.688	21.506
27	49.186	29.264	21.55
28	49.71	28.77	21.52
29	49.218	27.422	23.36
30	49.612	26.688	23.7
31	49.628	27.924	22.448
32	50.244	27.528	22.228
33	49.128	28.558	22.314
34	48.898	30.318	20.784
35	49.106	30.886	20.008
36	50.104	29.364	20.532
37	49.022	29.866	21.112
38	49.182	28.952	21.866
39	49.698	27.924	22.378
40	50.052	27.398	22.55
41	49.842	27.598	22.56
42	50.606	27.782	21.612
43	50.91	28.388	20.702
44	50.412	29.056	20.532
45	49.964	29.61	20.426
46	49.616	30.212	20.172
47	49.476	29.788	20.736
48	50.372	29.816	19.812
49	50.452	29.84	19.708
50	50.724	29.364	19.912
51	50.812	29.776	19.412
52	50.714	30.332	18.954
53	50.058	30.08	19.862
54	50.358	30.108	19.534
55	51.122	29.914	18.964
56	50.992	30.154	18.854
57	50.854	30.65	18.496
